Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Proof Generation/12000/256,4.137075922884829e-2,4.099930672334706e-2,4.1647379250081315e-2,6.610495214499494e-4,4.850211536162566e-4,9.449114605595404e-4
Proof Generation/13000/256,3.515512594291007e-2,3.475040873039968e-2,3.561320252589425e-2,9.272893550066754e-4,6.000626593731682e-4,1.4743992024922516e-3
Proof Generation/14000/256,4.1345483621459705e-2,4.081813208675356e-2,4.188133587077741e-2,1.1030913646850986e-3,8.43552427802111e-4,1.4487708551296971e-3
Proof Generation/15000/256,4.585317696988186e-2,4.5452519254325634e-2,4.622547910357545e-2,7.602224270038034e-4,5.352808280053376e-4,1.2217361530114808e-3
Proof Generation/16000/256,4.4885552338248e-2,4.448868207064799e-2,4.577875089291594e-2,1.0380362591378655e-3,5.599215295885125e-4,1.7207819270820936e-3
Proof Generation/17000/256,7.220005691864038e-2,7.154187356349721e-2,7.292976428447139e-2,1.2243765393426895e-3,8.83059073663004e-4,1.8444992928248552e-3
Proof Generation/18000/256,9.715598331277558e-2,9.585671727573047e-2,9.913143944256085e-2,2.6080130130409444e-3,1.3698210130796882e-3,4.349912273683941e-3
Proof Generation/19000/256,0.10070816624304885,0.10019976151199056,0.10112805446060529,7.494725620309451e-4,4.910433398942719e-4,1.2040160251705573e-3
Proof Generation/20000/256,5.6751261469745955e-2,5.6220167047963066e-2,5.7340855427244285e-2,1.0162323746561166e-3,7.077264265998523e-4,1.6147579833559438e-3
Proof Generation/21000/256,5.034190472445894e-2,4.934402052791969e-2,5.276009857316789e-2,2.7701282563454294e-3,1.1090460708299884e-3,4.858263861130895e-3
Proof Generation/22000/256,3.612719315667016e-2,3.5587819681930116e-2,3.6967272446612603e-2,1.4532547788883958e-3,8.368237483159504e-4,2.1605772639385536e-3
Proof Generation/23000/256,0.14610494004047206,0.14406986830950008,0.14718156808332122,2.1676029237689748e-3,7.463676086876948e-4,3.2770147081300593e-3
Proof Generation/24000/256,7.7881378947972e-2,7.694695405809059e-2,7.853039111403734e-2,1.3942062800613318e-3,7.790344102177393e-4,2.213158960247633e-3
Proof Generation/25000/256,9.55757328981416e-2,9.408413621296258e-2,9.801770931480663e-2,3.1753956268100983e-3,1.9664242866308523e-3,4.755267643248691e-3
Proof Generation/26000/256,8.035473767378182e-2,7.843319093055041e-2,8.332934730668058e-2,4.212224456755024e-3,2.8310286396797764e-3,5.965145772239057e-3
Proof Generation/27000/256,7.360310190081466e-2,7.259006701601112e-2,7.518030845964468e-2,2.221775734877136e-3,1.0117207661597062e-3,3.721965846623951e-3
Proof Generation/28000/256,6.985738962725904e-2,6.757280791024035e-2,7.086360430884024e-2,2.534977877762539e-3,1.1114382163671522e-3,4.157252754391493e-3
Proof Generation/29000/256,0.11680746203308308,0.1156751762938896,0.11790025100774312,1.6399150577928398e-3,1.0556161737399455e-3,2.4505172938080466e-3
Proof Generation/30000/256,0.11959774766918609,0.11565868766658127,0.12146073152756998,4.301862314674295e-3,1.8184164958300825e-3,6.880750369617306e-3
Proof Generation/31000/256,0.17922168187590207,0.17694301346086863,0.18063031648813152,2.514234969831226e-3,1.3791921992477318e-3,3.8429630466411736e-3
Proof Generation/32000/256,7.156768395487016e-2,6.96487466717018e-2,7.301054464560476e-2,3.0293651351494476e-3,2.0414478216904267e-3,4.486730395921834e-3
Proof Generation/33000/256,0.11231872862367681,0.1104537193347913,0.11458014947191372,3.143972025651323e-3,2.1484427811132097e-3,5.089693407971126e-3
Proof Generation/34000/256,9.471946867506231e-2,9.322465075312067e-2,9.676519932009849e-2,2.7376051551245622e-3,1.7259971927358298e-3,4.39628884246579e-3
Proof Generation/35000/256,0.10326390571748956,0.10140706764641177,0.10570432088240346,3.5387808147643337e-3,2.549632806400172e-3,4.2655301545334555e-3
Proof Generation/36000/256,6.003954303996411e-2,5.764006423738987e-2,6.1494015571649165e-2,3.457821874223443e-3,1.5414342034336737e-3,6.148650444637038e-3
Proof Generation/37000/256,0.12586141400074002,0.12242314025516994,0.12779018292263705,4.143138184013839e-3,1.475865657343917e-3,6.487404392560128e-3
Proof Generation/38000/256,0.16519238634323719,0.16148752300007022,0.17115172233605516,7.020073653438413e-3,3.636735591363049e-3,9.9589206086937e-3
Proof Generation/39000/256,0.15681813326362296,0.1546951564558055,0.16115792343025642,4.008580873136684e-3,1.840369897828739e-3,5.71599405251422e-3
Proof Generation/40000/256,0.11760594464349548,0.11434252429107272,0.1254356630000662,7.0844710963274445e-3,3.6732530710492134e-3,1.033334064806369e-2
Proof Generation/41000/256,0.20988244631389785,0.20257289641115472,0.2187607695221737,1.0965791324092394e-2,6.7053559341279465e-3,1.6392163781149514e-2
Proof Generation/42000/256,0.11325772756283627,0.11177313960895173,0.1167262927128148,3.3529109528960426e-3,1.0811914015551208e-3,5.246457668676057e-3
